Site,Date,Air Temperature,Water Temperature,Nitrate,NIT_GL,Phosphate,PHOS_GL,pH,PH_GL,Turbidity,TURB_GL,Average Dissolved Oxygen
MR3,9/7/1996,24,24,4,=,1,>,7,=,99,<,4.8
MR3,9/21/1996,18,18,1.6,=,0.4,=,6.5,=,99,<,7.5
MR3,10/5/1996,10,14,4,>,1,>,7,=,99,=,7.9
MR3,10/19/1996,14,14,2.4,=,1,>,99,=,99,=,7.7
MR3,11/2/1996,7,10,1.2,=,0.6,=,7,=,99,<,8.8
MR3,11/16/1996,4,5,1.2,=,0.2,<,6.5,=,99,<,10.8
MR3,11/29/1996,6,4,0.8,=,0.4,=,6.5,=,99,<,10.9
MR3,12/28/1996,6,4,0.4,=,0.2,=,6.5,=,99,<,11.6
MR3,1/11/1997,0,2,0.4,=,0.5,=,6.5,=,99,=,13.2
MR3,2/8/1997,0,0,0.4,=,0.4,=,6.5,=,99,=,11.6
MR3,2/22/1997,17,11,0.5,=,0.5,=,7,=,99,<,11
MR3,3/9/1997,0,6,0.3,=,0.2,=,7,=,99,=,12.6
MR3,3/23/1997,0,7,0.3,=,0.2,=,7,=,99,<,12.3
MR3,4/5/1997,14,12,0.2,<,0.2,<,6.5,=,99,<,11
MR3,4/19/1997,9,9,0.3,=,0.5,=,6.5,=,99,=,9.9
MR3,5/31/1997,21,18,1.2,=,0.8,=,99,=,99,=,7.5
MR3,6/15/1997,28,22,0.2,=,0.2,=,6.5,=,99,=,5.7
MR3,6/28/1997,20,24,4,=,0.8,=,6.5,=,99,<,4.1
MR3,7/12/1997,26,24,0.8,=,0.8,=,6.5,=,99,<,8.7
MR3,8/9/1997,27,22,0.8,=,0.3,=,7,=,99,<,4.7
MR3,8/23/1997,18,22,3.2,=,0.8,=,6.5,=,99,<,6.1
MR3,9/6/1997,20,18,3.2,=,0.3,=,6.5,=,99,<,6
MR3,10/4/1997,16,16,4,=,1,>,6.5,=,99,<,6.9
MR3,10/18/1997,10,14,4,=,1,>,7,=,99,<,6.8
MR3,11/15/1997,4,6,4,=,1,>,7,=,99,<,10
MR3,11/29/1997,6,6,3.2,=,1,>,7,=,99,<,10.9
MR3,12/14/1997,2,4,3.2,=,0.8,=,7,=,99,<,11.8
MR3,12/28/1997,2,3,1.6,=,0.4,=,7,=,99,=,11.8
MR3,1/10/1998,4,8,1.6,=,0.2,<,6.5,=,99,=,10
MR3,2/6/1998,0,3,2.4,=,0.4,=,6.5,=,99,<,10.7
MR3,2/21/1998,4,6,1.6,=,0.4,=,6.5,=,99,=,10.6
MR3,4/18/1998,10,14,2.4,=,1,>,6.5,=,99,<,9.2
MR3,5/3/1998,16,15,0.4,=,0.4,=,6.5,=,99,=,8.8
MR3,5/17/1998,16,18,0.8,=,0.8,=,6.5,=,99,<,8.2
MR3,5/31/1998,24,23,0.8,=,0.8,=,6.5,=,99,<,5
MR3,12/25/1999,6,8,0.6,=,0.2,<,7,,99,<,13
MR3,1/23/2000,16,14,1.6,=,0.2,<,7,,99,<,11.8
MR3,2/5/2000,14,9,0.2,=,0.2,<,6.8,,99,<,12
MR3,2/19/2000,10,10,0.6,=,0.2,<,6,,99,<,12
MR3,3/4/2000,25,12,0.8,=,0.2,<,6,,99,<,12
MR3,3/19/2000,99,99,0.5,=,0.2,<,6,,99,=,10.75
MR3,4/2/2000,22,16,0.8,=,0.2,<,6.8,,99,<,9
MR3,4/16/2000,20,15,0.8,=,0.2,<,6.3,=,99,=,9.25
MR3,4/30/2000,23,18,1.2,=,0.2,<,6.8,,99,=,9.1
MR3,5/13/2000,23,20,1.2,=,0.2,<,6.5,=,99,<,5.75
MR3,5/28/2000,23,19,0.8,=,0.2,<,7,,99,<,6.65
MR3,6/11/2000,29,21,0.8,=,0.2,<,6.5,=,99,>,5.25
MR3,6/24/2000,31,24,0.8,=,0.2,<,6.5,,99,<,5.5
MR3,7/9/2000,29,24,1.6,=,0.2,<,6.5,,99,<,5.7
MR3,7/23/2000,27,23,1.2,=,0.2,<,6.5,,99,<,5.85
MR3,8/4/2000,26,24,0.5,=,0.2,<,6.5,,99,>,6
MR3,8/20/2000,20,20,0.8,=,99,=,6.5,=,99,<,6.5
MR3,9/1/2000,29,24,1.6,=,0.2,<,6.8,=,99,<,4.4
MR3,9/17/2000,20,20,0.8,=,0.2,<,6.5,=,99,<,6.6
MR3,10/15/2000,22,15,1.2,=,0.2,<,6.5,=,99,<,7.1
MR3,10/29/2000,12,11,0.8,=,0.2,<,6.5,=,99,<,6.7
MR3,11/24/2000,2,4,0.8,=,0.2,<,6.5,=,99,<,11.8
MR3,12/9/2000,0,2,0.8,=,0.2,<,6.5,=,99,<,11.3
MR3,12/22/2001,10,2,1.2,=,0.2,<,7,=,99,<,12.1
MR3,2/16/2002,16,7,1.2,=,0.2,<,7,=,99,<,11.3
MR3,10/11/2003,19,6,2.8,=,0.8,=,7,=,99,<,3.1
MR3,10/25/2003,14,10,1.2,=,0.3,=,7,=,99,<,8
MR3,11/9/2003,4,10,1.2,=,0.2,=,6.5,=,99,<,8.1
MR3,11/23/2003,12,10,0.8,=,0.2,<,5,=,99,=,9.2
MR3,12/20/2003,2,3,0.2,=,0.2,<,6.5,=,99,=,11.8
MR3,1/3/2004,12,99,0.6,=,0.2,<,7,=,99,<,10.6
MR3,1/17/2004,-2,1,1,=,0.2,<,7,=,99,<,11
MR3,2/1/2004,1,1,1.2,=,0.3,=,7,=,99,<,9.6
MR3,2/13/2004,6,2,0.4,=,0.2,<,6.5,=,99,=,12.1
MR3,2/28/2004,8,4,1.2,=,0.2,<,7,=,99,<,11.5
MR3,3/14/2004,7,6,1,=,0.2,<,7,=,99,<,10.4
MR3,3/27/2004,17,11,0.4,=,0.2,<,6.5,=,99,<,6.7
MR3,4/9/2004,12,10,1,=,0.2,<,7,=,99,<,9.7
MR3,4/25/2004,12,16,1,=,0.2,<,6.5,=,99,<,5.2
MR3,5/9/2004,20,17,0.8,=,0.2,<,7,=,99,<,6.9
MR3,5/22/2004,29,24,1,=,0.3,=,7,=,99,<,4
MR3,6/5/2004,18,20,0.2,<,1,=,6.5,=,99,=,3.5
MR3,6/19/2004,27,25.5,1.2,=,0.2,=,99,=,99,<,3.5
MR3,7/17/2004,27.5,22,0.2,<,1,=,6.5,=,99,<,3.5
MR3,8/15/2004,23.5,22,1,=,0.2,<,7,=,99,=,4.9
MR3,8/28/2004,26,24.5,1.2,=,0.2,<,7,=,99,=,3
MR3,9/11/2004,19,21,0.4,=,0.2,<,7,=,99,<,4
MR3,9/25/2004,21,19,1.2,=,0.2,<,7,=,99,<,3.2
MR3,10/23/2004,10,11,0.6,=,0.2,<,7,=,99,<,99
MR3,11/7/2004,16,9.5,0.4,=,99,=,7,=,99,=,5.1
MR3,4/22/2006,7.5,15,1.2,=,0.3,=,7,=,99,<,7.05
MR3,5/6/2006,22.5,18,1,=,0.5,=,6.5,=,99,<,6.2
MR3,5/20/2006,17.5,15.5,0.8,=,0.3,=,6.5,=,99,<,7.9
MR3,6/4/2006,17,19.5,0.4,=,0.2,<,6.5,=,99,<,6.2
MR3,6/18/2006,26.5,21.5,1,=,0.6,=,6.5,=,99,<,5.4
MR3,7/2/2006,28.5,23.5,0.5,=,0.2,<,6.5,=,99,<,5
MR3,7/16/2006,29.5,25.5,0.8,=,0.5,=,6.5,=,99,<,4
MR3,7/29/2006,28.5,26,0.6,=,0.5,=,7,=,99,<,3.9
MR3,8/11/2006,23.5,23.5,0.5,=,0.5,=,6.5,=,99,<,4.3
MR3,8/27/2006,18.5,22,0.4,=,0.8,=,6.5,=,99,<,5.35
MR3,9/10/2006,23,21,0.3,=,0.4,=,6.5,=,99,<,5.7
MR3,9/24/2006,25.5,19.5,0.2,<,0.2,<,6.5,=,99,<,5.9
MR3,10/7/2006,17,15,0.2,<,0.2,<,7,=,99,<,7.3
MR3,10/22/2006,13,12,0.3,=,0.5,=,6,=,99,<,8.45
MR3,11/5/2006,6,8,0.2,=,0.4,=,6.5,=,99,<,10
MR3,12/2/2006,8,10.5,0.2,<,0.2,<,6,=,99,<,8.75
MR3,12/16/2006,9.5,6,1,=,0.5,=,6.5,=,99,<,10.9
MR3,12/31/2006,4,5.5,2.8,=,0.3,=,6.5,=,99,<,11.5
MR3,1/13/2007,12.5,5.5,1,=,0.2,<,5,=,99,<,10.07
MR3,1/28/2007,5,4.25,2,=,0.3,=,7,=,99,<,10.64
MR3,2/11/2007,0,2,0.4,=,0.2,=,6.5,=,99,<,10.1
MR3,2/25/2007,-0.5,2.5,1.2,=,0.2,<,6.5,=,99,<,99
MR3,3/10/2007,5,2.5,99,=,1,=,5.5,=,99,<,11.3
MR3,3/25/2007,12.06,9.06,0.4,=,0.2,<,6.5,=,99,<,9.95
MR3,4/8/2007,13.56,16.74,0.8,=,0.2,<,6,=,99,<,7.5
MR3,4/20/2007,5.06,6.56,0.5,=,0.3,=,6.5,=,99,<,9.7
MR3,5/19/2007,14.06,18.24,2.4,=,0.5,=,7,=,99,<,6.1
MR3,6/2/2007,25.74,24.74,2,=,1,>,6,=,99,<,3.6
MR3,6/17/2007,26.24,22.74,0.3,=,0.4,=,6.5,=,99,<,3.85
MR3,6/30/2007,24.24,21.74,0.3,=,0.3,=,6.5,=,99,<,3.8
MR3,7/15/2007,24.74,23.24,0.4,=,0.4,=,6.5,=,99,<,3.55
MR3,7/28/2007,26.24,26.24,1,=,0.8,=,6,=,99,<,3.55
MR3,8/12/2007,28.74,24.24,0.4,=,0.6,=,6.5,=,99,=,3.45
MR3,8/25/2007,25.24,22.74,0.6,=,0.5,=,6.5,=,99,<,4.8
MR3,9/8/2007,25.74,25.24,0.8,=,0.4,=,6.5,=,99,<,3.65
MR3,9/22/2007,20.74,21.74,0.2,=,0.8,=,6.5,=,99,<,4.6
MR3,10/5/2007,21.24,23.24,1,=,0.4,=,7,=,99,<,4.1
MR3,11/4/2007,12.56,11.06,0.8,=,0.5,=,6.5,=,99,=,7.6
MR3,11/17/2007,7.56,8.06,0.8,=,0.6,=,7,=,99,=,9.3
MR3,12/2/2007,-1.94,5.56,1.6,=,0.3,=,7.5,=,99,<,10.25
MR3,12/29/2007,10.06,5.56,0.2,<,0.3,=,6.5,=,99,=,10.1
MR3,1/12/2008,9.06,6.56,0.8,=,0.2,<,4.5,=,99,<,10.4
MR3,1/26/2008,3.82,2.82,0.8,=,0.4,=,6,=,99,<,11.5
MR3,2/10/2008,10.82,6.82,0.8,=,0.4,=,6.5,=,99,=,9.9
MR3,2/24/2008,3.82,3.82,1.2,=,0.2,=,7,=,99,<,11.7
MR3,3/8/2008,8.32,10.32,0.2,<,0.2,<,6.5,=,99,=,10
MR3,3/23/2008,7.32,7.82,0.2,<,0.2,<,6.5,=,99,<,9.7
MR3,4/5/2008,13.32,10.82,0.2,<,0.2,<,6.5,=,99,<,9.6
MR3,4/20/2008,13.32,17.34,0.3,=,0.6,=,7,=,99,<,6.35
MR3,5/3/2008,13.32,15.32,0.2,=,0.5,=,7,=,99,<,6.2
MR3,5/17/2008,16.84,14.82,0.2,=,0.2,<,7,=,99,<,7.6
MR3,6/1/2008,24.34,21.34,0.3,=,0.6,=,7,=,99,<,4.5
MR3,6/15/2008,27.84,24.84,0.2,<,0.2,=,7,=,99,<,3.2
MR3,6/28/2008,26.84,26.34,0.2,<,0.2,=,7,=,99,<,2.2
MR3,7/13/2008,27.84,25.34,0.2,=,0.4,=,7,=,99,<,4.2
MR3,7/27/2008,25.34,25.34,0.2,<,0.2,=,7,=,99,=,4.2
MR3,8/10/2008,25.84,23.34,0.2,<,0.8,=,7,=,99,<,4.35
MR3,8/23/2008,24.34,22.34,99,=,0.4,=,7,=,99,<,4.85
MR3,9/5/2008,27.84,24.84,0.2,<,0.5,=,7,=,99,<,3.8
MR3,9/21/2008,20.34,17.84,0.2,<,0.4,=,7,=,99,<,5.35
MR3,10/3/2008,15.84,17.34,0.2,<,0.2,<,6.5,=,99,<,6.65
MR3,10/19/2008,11.82,13.82,0.2,<,0.4,=,6.5,=,99,<,5.7
MR3,11/2/2008,12.32,9.82,0.2,<,0.2,=,6,=,99,<,9
MR3,11/29/2008,8.82,5.82,0.2,<,0.6,=,7,=,99,<,10.9
MR3,12/27/2008,6.5,3.5,0.4,=,0.2,<,7,=,99,<,11.9
MR3,1/11/2009,4,1.5,0.8,=,0.2,=,6.5,=,99,<,12.5
MR3,1/23/2009,6,1.5,0.8,=,0.2,=,7,=,99,<,12.5
MR3,2/8/2009,13.5,3.5,1,=,0.2,=,7,=,99,<,12.35
MR3,2/22/2009,4.5,2.5,0.8,=,0.4,=,7,=,99,<,12.8
MR3,3/7/2009,20.06,5.5,0.6,=,0.2,<,7.5,=,99,<,13.4
MR3,3/21/2009,6.5,8.5,0.6,=,0.2,<,7,=,99,<,10.3
MR3,4/4/2009,8.5,10.5,0.3,=,0.2,<,7,=,99,<,9
MR3,4/19/2009,22.56,12.5,0.2,=,0.2,<,7,=,99,<,8.3
MR3,5/3/2009,13.5,16.5,0.8,=,0.4,=,7,=,99,<,6.3
MR3,5/15/2009,22.56,12.5,1,=,0.2,<,7,=,99,<,6.35
MR3,5/31/2009,20.56,19.56,0.8,=,0.2,=,7,=,99,<,5
MR3,6/13/2009,23.56,20.06,1,=,0.2,=,7,=,99,<,5.6
MR3,6/28/2009,23.06,21.56,1.6,=,0.2,=,7,=,99,<,5.2
MR3,7/12/2009,25.06,22.56,1.6,=,0.2,=,7,=,99,<,4.8
MR3,7/26/2009,26.56,23.56,1.2,=,0.2,<,7,=,99,<,4.5
MR3,8/9/2009,25.56,23.06,1.2,=,0.2,=,7,=,99,<,4.7
MR3,9/4/2009,22.56,21.06,99,=,0.2,<,7,=,99,<,5.4
MR3,10/16/2009,6,11,0.6,=,0.2,=,7.5,=,99,<,7.6
MR3,10/31/2009,18.56,12.5,0.2,<,0.2,<,6.5,=,99,<,7.4
MR3,11/15/2009,18.56,10.5,1,=,99,=,6.5,=,99,<,8.35
MR3,11/28/2009,10,8.5,1.2,=,0.2,=,7,=,99,<,8.65
MR3,12/13/2009,0.5,2.5,0.8,=,0.2,=,7,=,99,<,11.6
MR3,1/17/2010,4,4,3.2,=,0.3,=,7,=,99,<,11.2
MR3,2/21/2010,6.5,3,1.6,=,0.2,<,7,=,99,<,12.35
MR3,3/21/2010,17.11,12,0.6,=,0.2,<,7,=,99,<,9.2
MR3,4/18/2010,9.5,13.5,0.8,=,0.2,=,7,=,5,=,7.1
MR3,5/16/2010,19.11,17.11,0.4,=,0.2,<,6.5,=,10,=,6.05
MR3,6/20/2010,30.11,20.11,0.5,=,0.2,<,7,=,10,=,6.05
MR3,7/18/2010,30.11,28.11,0.3,=,0.2,<,7,=,5,=,4.2
MR3,9/19/2010,22.11,20.11,0.2,=,0.2,<,7,=,10,=,4.7
MR3,10/15/2010,11.5,14,1,=,0.4,=,6.5,=,5,=,6.9
MR3,11/21/2010,9,8,1.2,=,0.4,=,7.5,=,5,=,9.5
MR3,12/18/2010,1.19,1.69,1.6,=,0.6,=,7,=,5,=,12.7
MR3,2/20/2011,1.69,1.19,0.8,=,0.2,<,6.5,=,10,=,12.2
MR3,3/20/2011,7.69,9.19,0.6,=,0.2,<,7,=,10,=,9.45
MR3,5/22/2011,22.816,16.816,0.4,=,0.2,<,7,=,10,=,6.05
MR3,7/17/2011,28.82,25.82,0.2,<,0.2,=,7,=,99,=,4.9
MR3,10/16/2011,17.82,15.32,0.8,=,0.3,=,7,=,5,=,6.6
MR3,11/20/2011,18.32,9.19,1,=,0.4,=,7,=,5,=,8.8
MR3,12/17/2011,7.8,7.8,1,=,0.2,=,7,=,5,=,10.2
MR3,1/22/2012,-1.7,2.8,1,=,0.2,=,7,=,10,=,12.3
MR3,2/19/2012,6.3,6.8,0.8,=,0.2,=,6.7,=,10,=,11.6
MR3,3/18/2012,10.8,13.3,1.6,=,0.4,=,7,=,5,=,8.2
MR3,4/22/2012,12.3,19,1,=,0.4,=,6.5,=,20,=,4
MR3,5/20/2012,24.5,20,2.4,=,0.6,=,7,=,10,=,4.85
MR3,6/17/2012,21,22.5,1.6,=,99,=,7,=,5,=,4.5
MR3,7/22/2012,25,23.5,1.2,=,0.6,=,7,=,15,=,4.8
MR3,8/19/2012,21.5,23.5,1.2,=,0.6,=,6.7,=,5,=,4
MR3,9/15/2012,19.5,21.5,2.4,=,1,>,7,=,5,=,4
MR3,11/17/2012,10.8,7.3,0.2,<,0.2,<,7,=,5,<,99
MR3,2/16/2013,99,99,99,=,99,=,7,=,10,=,11.2
MR3,3/16/2013,99,99,0.8,=,0.2,=,6.7,=,10,=,99
MR3,4/21/2013,9.7,14.7,1.2,=,0.2,=,6.5,=,5,=,7.5
MR3,7/19/2013,33.6,28.1,0.4,=,0.2,<,7.2,=,15,=,2.9
MR3,8/19/2013,19.6,99,0.2,<,0.2,<,6.5,=,10,=,4.95
MR3,9/22/2013,19.6,19.6,0.2,<,0.2,<,6.7,=,10,=,99
MR3,1/19/2014,6.7,2.7,0.2,<,0.2,<,7.5,=,10,=,6.95
MR3,3/15/2014,10.8,4.3,0.8,=,0.2,<,6.7,=,20,=,10.8
MR3,4/13/2014,21.1,14.8,1.6,=,0.2,=,7,=,20,=,8
MR3,5/18/2014,16.8,17.8,1.2,=,0.2,<,7,=,10,=,6.7
MR3,6/21/2014,21.6,18.6,0.2,<,99,=,7,=,10,=,7.1
MR3,7/19/2014,23.6,18.6,0.2,<,0.2,<,6.7,=,15,=,6.85
MR3,8/16/2014,21.6,19.6,0.2,<,0.2,<,6.7,=,10,=,7.15
MR3,9/20/2014,19.6,18.6,0.2,<,0.2,<,6.7,=,10,=,7
MR3,10/19/2014,9.8,16.1,0.2,<,0.2,<,6.7,=,10,=,7.2
MR3,11/15/2014,5.8,6.8,2.4,=,0.4,=,7.5,=,10,=,9.8
MR3,12/21/2014,1.8,3.8,2.4,=,0.6,=,7,=,10,=,10.5
MR3,1/18/2015,0.8,1.8,2.4,=,0.6,=,7,=,10,=,11.8
MR3,3/22/2015,2.3,4.3,1.6,=,0.2,=,7,=,10,=,11.2
MR3,11/20/2016,6,10,2.4,=,1,=,7,=,10,=,6.9
MR3,1/22/2017,8,7,3.2,=,0.6,=,6.5,=,10,=,10
MR3,3/18/2017,4,4,4,=,0.6,=,8,=,10,=,10.9
MR3,4/23/2017,14.5,14.5,2.4,=,1,=,7,=,5,<,7
MR3,5/21/2017,19,18.5,4,>,0.8,=,6.8,=,10,=,5.2
MR3,7/14/2017,20,25,3.2,=,1,=,7.5,=,10,=,3
MR3,8/19/2017,27,24,2.4,=,1,=,7.5,=,10,=,4.5
MR3,9/15/2017,24,21,4,>,1,=,7,=,5,<,3.9
MR3,10/21/2017,20,15,4,=,1,=,7.5,=,10,=,4.9
MR3,11/17/2017,7,8.5,4,>,1,>,7,=,10,=,8
MR3,12/15/2017,-4,2,4,=,0.8,=,7.5,=,10,=,11.3
MR3,1/19/2018,4.5,2,3.2,=,1,=,99,=,10,=,10.4
MR3,2/16/2018,14,8,3.2,=,0.4,=,7,=,10,=,9.7
MR3,3/17/2018,6,5,1.6,=,0.2,=,7.5,=,10,=,11.1
MR3,4/20/2018,7,9,2.4,=,0.2,=,7,=,10,=,9.3
MR3,5/20/2018,23.5,15.5,1.6,=,0.2,=,7,=,10,=,7
MR3,6/16/2018,24,21,4,=,1,>,7,=,10,=,4.6
MR3,7/21/2018,24,24,2.4,=,0.8,=,7.5,=,10,=,3.5
MR3,9/14/2018,21,21.5,1.6,=,0.6,=,8,=,10,=,5.7
MR3,10/19/2018,15,12,2.4,=,1,=,7,=,10,=,7.4
MR3,1/18/2019,2,4,2.4,=,0.6,=,7,=,10,=,10.7
MR3,2/16/2019,5,4,1.6,=,0.2,=,7,=,10,=,10.7
MR3,3/15/2019,20,10,2.4,=,0.4,=,7,=,10,=,9.4
MR3,4/12/2019,15,14,2.4,=,0.6,=,7,=,10,=,7.8
MR3,5/18/2019,21,17,1.6,=,0.6,=,7,=,10,=,6.7
MR3,7/19/2019,28.5,25,1.2,=,0.6,=,7,=,20,=,4.5
MR3,7/20/2019,27,20.5,0.3,=,0.2,<,6,=,10,=,5.95
MR3,8/16/2019,27,25,3.2,=,1,=,7.5,=,10,=,3.4
MR3,9/22/2019,24,20.5,4,=,0.6,=,6.5,=,10,=,4.9
MR3,10/19/2019,11,13,1.6,=,0.4,=,7,=,10,=,7.1
MR3,11/15/2019,9,6,2.4,=,0.8,=,7,=,10,=,9.1
MR3,12/22/2019,6,2,1.6,=,0.4,=,7,=,10,=,11.9
MR3,1/17/2020,1,5,2.4,=,0.6,=,7,=,10,=,10.2
MR3,2/14/2020,0.5,5.5,1.6,=,0.4,=,7,=,10,=,10.4
MR3,2/14/2020,99,99,99,=,99,=,99,=,99,=,99
